Release,Date,Bases,Sequences,Year
3,Dec-82,680338,606,1982
14,Nov-83,2274029,2427,1983
20,May-84,3002088,3665,1984
24,Sep-84,3323270,4135,1984
25,Oct-84,3368765,4175,1984
26,Nov-84,3689752,4393,1984
32,May-85,4211931,4954,1985
36,Sep-85,5204420,5700,1985
40,Feb-86,5925429,6642,1986
42,May-86,6765476,7416,1986
44,Aug-86,8442357,8823,1986
46,Nov-86,9615371,9978,1986
48,Feb-87,10961380,10913,1987
50,May-87,13048473,12534,1987
52,Aug-87,14855145,14020,1987
53,Sep-87,15514776,14584,1987
54,Dec-87,16752872,15465,1987
55,Mar-88,19156002,17047,1988
56,Jun-88,20795279,18226,1988
57,Sep-88,22019698,19044,1988
57.1,Oct-88,23800000,20579,1988
58,Dec-88,24690876,21248,1988
59,Mar-89,26382491,22479,1989
60,Jun-89,31808784,26317,1989
61,Sep-89,34762585,28791,1989
62,Dec-89,37183950,31229,1989
63,Mar-90,40127752,33377,1990
64,Jun-90,42495893,35100,1990
65,Sep-90,49179285,39533,1990
66,Dec-90,51306092,41057,1990
67,Mar-91,55169276,43903,1991
68,Jun-91,65868799,51418,1991
69,Sep-91,71947426,55627,1991
70,Dec-91,77337678,58952,1991
71,Mar-92,83894652,65100,1992
72,Jun-92,92160761,71280,1992
73,Sep-92,101008486,78608,1992
74,Dec-92,120242234,97084,1992
75,Feb-93,126212259,106684,1993
76,Apr-93,129968355,111911,1993
77,Jun-93,138904393,120134,1993
78,Aug-93,147215633,131328,1993
79,Oct-93,157152442,143492,1993
80,Dec-93,163802597,150744,1993
81,Feb-94,173261500,162946,1994
82,Apr-94,180589455,169896,1994
83,Jun-94,191393939,182753,1994
84,Aug-94,201815802,196703,1994
85,Oct-94,217102462,215273,1994
86,Dec-94,230485928,237775,1994
87,Feb-95,248499214,269478,1995
88,Apr-95,286094556,352414,1995
89,Jun-95,318624568,425211,1995
90,Aug-95,353713490,492483,1995
91,Oct-95,384939485,555694,1995
92,Dec-95,425860958,620765,1995
93,Feb-96,463758833,685693,1996
94,Apr-96,499127741,744295,1996
95,Jun-96,551750920,835487,1996
96,Aug-96,602072354,920588,1996
97,Oct-96,651972984,1021211,1996
98,Dec-96,730552938,1114581,1996
99,Feb-97,786898138,1192505,1997
100,Apr-97,842864309,1274747,1997
101,Jun-97,966993087,1491069,1997
102,Aug-97,1053474516,1610848,1997
103,Oct-97,1160300687,1765847,1997
104,Dec-97,1258290513,1891953,1997
105,Feb-98,1372368913,2042325,1998
106,Apr-98,1502542306,2209232,1998
107,Jun-98,1622041465,2355928,1998
108,Aug-98,1797137713,2532359,1998
109,Oct-98,2008761784,2837897,1998
110,Dec-98,2162067871,3043729,1998
111,Apr-99,2569578208,3525418,1999
112,Jun-99,2974791993,4028171,1999
113,Aug-99,3400237391,4610118,1999
114,Oct-99,3841163011,4864570,1999
115,Dec-99,4653932745,5354511,1999
116,Feb-00,5805414935,5691170,2000
117,Apr-00,7376080723,6215002,2000
118,Jun-00,8604221980,7077491,2000
119,Aug-00,9545724824,8214339,2000
120,Oct-00,10335692655,9102634,2000
121,Dec-00,11101066288,10106023,2000
122,Feb-01,11720120326,10896781,2001
123,Apr-01,12418544023,11545572,2001
124,Jun-01,12973707065,12243766,2001
125,Aug-01,13543364296,12813516,2001
126,Oct-01,14396883064,13602262,2001
